Estado,Fecha,Positivos,Defunciones
Baja California,2020-09-07,102.0,20.0
Baja California,2020-09-08,74.0,9.0
Baja California,2020-09-09,82.0,16.0
Baja California,2020-09-10,73.0,9.0
Baja California,2020-09-11,71.0,9.0
Baja California,2020-09-12,66.0,12.0
Baja California,2020-09-13,53.0,6.0
Baja California,2020-09-14,65.0,17.0
Baja California,2020-09-15,98.0,10.0
Baja California,2020-09-16,63.0,12.0
Baja California,2020-09-17,92.0,11.0
Baja California,2020-09-18,76.0,12.0
Baja California,2020-09-19,79.0,12.0
Baja California,2020-09-20,100.0,9.0
Baja California,2020-09-21,75.0,6.0
Baja California,2020-09-22,73.0,10.0
Baja California,2020-09-23,67.0,10.0
Baja California,2020-09-24,63.0,19.0
Baja California,2020-09-25,93.0,10.0
Baja California,2020-09-26,86.0,5.0
Baja California,2020-09-27,88.0,11.0
Baja California,2020-09-28,103.0,10.0
Baja California,2020-09-29,77.0,7.0
Baja California,2020-09-30,94.0,10.0
Baja California,2020-10-01,84.0,6.0
Baja California,2020-10-02,99.0,5.0
Baja California,2020-10-03,104.0,7.0
Baja California,2020-10-04,81.0,6.0
Baja California,2020-10-05,124.0,11.0
Baja California,2020-10-06,89.0,13.0
Baja California,2020-10-07,60.0,4.0
Baja California,2020-10-08,72.0,8.0
Baja California,2020-10-09,102.0,9.0
Baja California,2020-10-10,119.0,8.0
Baja California,2020-10-11,99.0,8.0
Baja California,2020-10-12,142.0,14.0
Baja California,2020-10-13,84.0,7.0
Baja California,2020-10-14,93.0,10.0
Baja California,2020-10-15,94.0,5.0
Baja California,2020-10-16,94.0,10.0
Baja California,2020-10-17,102.0,6.0
Baja California,2020-10-18,92.0,11.0
Baja California,2020-10-19,105.0,10.0
Baja California,2020-10-20,116.0,10.0
Baja California,2020-10-21,91.0,11.0
Baja California,2020-10-22,105.0,7.0
Baja California,2020-10-23,88.0,13.0
Baja California,2020-10-24,90.0,7.0
Baja California,2020-10-25,96.0,15.0
Baja California,2020-10-26,70.0,15.0
Baja California,2020-10-27,71.0,7.0
Baja California,2020-10-28,80.0,13.0
Baja California,2020-10-29,74.0,9.0
Baja California,2020-10-30,68.0,6.0
Baja California,2020-10-31,82.0,13.0
Baja California,2020-11-01,127.0,19.0
Baja California,2020-11-02,79.0,19.0
Baja California,2020-11-03,54.0,7.0
Baja California,2020-11-04,56.0,13.0
Baja California,2020-11-05,70.0,15.0
Baja California,2020-11-06,57.0,14.0
Baja California,2020-11-07,53.0,8.0
Baja California,2020-11-08,27.0,15.0
Baja California,2020-11-09,42.0,12.0
Baja California,2020-11-10,34.0,14.0
Baja California,2020-11-11,21.0,12.0
Baja California,2020-11-12,14.0,8.0
Baja California,2020-11-13,12.0,11.0
Baja California,2020-11-14,8.0,6.0
Baja California,2020-11-15,6.0,7.0
Baja California,2020-11-16,7.0,3.0
Baja California,2020-11-17,0.0,2.0
Baja California,2020-11-18,0.0,1.0
Baja California,2020-11-19,0.0,0.0
Baja California Sur,2020-01-13,0.0,0.0
Baja California Sur,2020-01-14,0.0,0.0
Baja California Sur,2020-01-15,0.0,0.0
Baja California Sur,2020-01-16,0.0,0.0
Baja California Sur,2020-01-17,0.0,0.0
Baja California Sur,2020-01-18,0.0,0.0
Baja California Sur,2020-01-19,0.0,0.0
Baja California Sur,2020-01-20,0.0,0.0
Baja California Sur,2020-01-21,0.0,0.0
Baja California Sur,2020-01-22,0.0,0.0
Baja California Sur,2020-01-23,0.0,0.0
